INCOME_ID,AGE,BUCKET,CHILD_NO,CUSTOMER_ID,EDUCATION,FIRST_JOB,HH_MEMBERS,HOUSEHOLD_ID,HOUSE_OWNER,INCOME,INSTALLMENT_AMT,INSTALLMENT_NM,INTODEFAULT,LOAN_AMT,LOAN_ID,MARRIED,PAST_DUE_AMT,REPORTING_DATE
5481163,42,1,1,1,Secondary,N,3,5766042,Y,3134,341.46,24,N,8195,953773,Y,0,2010-01-31
5481163,42,2,1,1,Secondary,N,3,5766042,Y,3134,341.46,24,N,8195,953773,Y,0,2010-02-28
5481163,42,3,1,1,Secondary,N,3,5766042,Y,3134,341.46,24,N,8195,953773,Y,0,2010-03-31
5481163,42,4,1,1,Secondary,N,3,5766042,Y,3134,341.46,24,N,8195,953773,Y,0,2010-04-30
5481163,42,5,1,1,Secondary,N,3,5766042,Y,3134,341.46,24,N,8195,953773,Y,0,2010-05-31
5481163,42,6,1,1,Secondary,N,3,5766042,Y,3134,341.46,24,N,8195,953773,Y,0,2010-06-30
5481163,42,7,1,1,Secondary,N,3,5766042,Y,3134,341.46,24,N,8195,953773,Y,0,2010-07-31
5481163,42,8,1,1,Secondary,N,3,5766042,Y,3134,341.46,24,N,8195,953773,Y,0,2010-08-31
5481163,42,9,1,1,Secondary,N,3,5766042,Y,3134,341.46,24,N,8195,953773,Y,0,2010-09-30
5481165,19,1,2,2,Elementary,Y,3,5766059,N,2259,333.96,48,N,16030,953774,N,0,2010-01-31
5481165,19,2,2,2,Elementary,Y,3,5766059,N,2259,333.96,48,N,16030,953774,N,0,2010-02-28
5481165,19,3,2,2,Elementary,Y,3,5766059,N,2259,333.96,48,N,16030,953774,N,0,2010-03-31
5481165,19,4,2,2,Elementary,Y,3,5766059,N,2259,333.96,48,N,16030,953774,N,0,2010-04-30
5481165,19,5,2,2,Elementary,Y,3,5766059,N,2259,333.96,48,N,16030,953774,N,0,2010-05-31
5481165,19,6,2,2,Elementary,Y,3,5766059,N,2259,333.96,48,N,16030,953774,N,0,2010-06-30
5481165,19,7,2,2,Elementary,Y,3,5766059,N,2259,333.96,48,N,16030,953774,N,0,2010-07-31
5481165,19,8,2,2,Elementary,Y,3,5766059,N,2259,333.96,48,N,16030,953774,N,0,2010-08-31
5481165,19,9,2,2,Elementary,Y,3,5766059,N,2259,333.96,48,N,16030,953774,N,0,2010-09-30
5481165,19,10,2,2,Elementary,Y,3,5766059,N,2259,333.96,48,N,16030,953774,N,0,2010-10-31
5481165,19,11,2,2,Elementary,Y,3,5766059,N,2259,333.96,48,N,16030,953774,N,0,2010-11-30
5481165,19,12,2,2,Elementary,Y,3,5766059,N,2259,333.96,48,N,16030,953774,N,0,2010-12-31
5481165,20,13,2,2,Elementary,Y,3,5766059,N,2711,333.96,48,N,16030,953774,N,0,2011-01-31
5481165,20,14,2,2,Elementary,Y,3,5766059,N,2711,333.96,48,N,16030,953774,N,0,2011-02-28
5481165,20,15,2,2,Elementary,Y,3,5766059,N,2711,333.96,48,N,16030,953774,N,0,2011-03-31
5481165,20,16,2,2,Elementary,Y,3,5766059,N,2711,333.96,48,N,16030,953774,N,0,2011-04-30
5481165,20,17,2,2,Elementary,Y,3,5766059,N,2711,333.96,48,N,16030,953774,N,0,2011-05-31
5481165,20,18,2,2,Elementary,Y,3,5766059,N,2711,333.96,48,N,16030,953774,N,0,2011-06-30
5481165,20,19,2,2,Elementary,Y,3,5766059,N,2711,333.96,48,N,16030,953774,N,0,2011-07-31
5481165,20,20,2,2,Elementary,Y,3,5766059,N,2711,333.96,48,N,16030,953774,N,0,2011-08-31
5481165,20,21,2,2,Elementary,Y,3,5766059,N,2711,333.96,48,N,16030,953774,N,0,2011-09-30
5481165,20,22,2,2,Elementary,Y,3,5766059,N,2711,333.96,48,N,16030,953774,N,0,2011-10-31
5481165,20,23,2,2,Elementary,Y,3,5766059,N,2711,333.96,48,N,16030,953774,N,0,2011-11-30
5481183,20,1,0,3,Higher Education,Y,2,5766062,N,4028,213.23,48,N,10235,953775,Y,0,2010-01-31
5481183,20,2,0,3,Higher Education,Y,2,5766062,N,4028,213.23,48,N,10235,953775,Y,0,2010-02-28
5481183,20,3,0,3,Higher Education,Y,2,5766062,N,4028,213.23,48,N,10235,953775,Y,0,2010-03-31
5481183,20,4,0,3,Higher Education,Y,2,5766062,N,4028,213.23,48,N,10235,953775,Y,0,2010-04-30
5481183,20,5,0,3,Higher Education,Y,2,5766062,N,4028,213.23,48,N,10235,953775,Y,0,2010-05-31
5481183,20,6,0,3,Higher Education,Y,2,5766062,N,4028,213.23,48,N,10235,953775,Y,0,2010-06-30
5481183,20,7,0,3,Higher Education,Y,2,5766062,N,4028,213.23,48,N,10235,953775,Y,0,2010-07-31
5481183,20,8,0,3,Higher Education,Y,2,5766062,N,4028,213.23,48,N,10235,953775,Y,0,2010-08-31
5481183,20,9,0,3,Higher Education,Y,2,5766062,N,4028,213.23,48,N,10235,953775,Y,0,2010-09-30
5481183,20,10,0,3,Higher Education,Y,2,5766062,N,4028,213.23,48,N,10235,953775,Y,0,2010-10-31
5481183,20,11,0,3,Higher Education,Y,2,5766062,N,4028,213.23,48,N,10235,953775,Y,0,2010-11-30
5481183,20,12,0,3,Higher Education,Y,2,5766062,N,4028,213.23,48,N,10235,953775,Y,0,2010-12-31
5481183,21,13,0,3,Higher Education,Y,2,5766062,N,4431,213.23,48,N,10235,953775,Y,0,2011-01-31
5481183,21,14,0,3,Higher Education,Y,2,5766062,N,4431,213.23,48,N,10235,953775,Y,0,2011-02-28
5481183,21,15,0,3,Higher Education,Y,2,5766062,N,4431,213.23,48,N,10235,953775,Y,0,2011-03-31
5481183,21,16,0,3,Higher Education,Y,2,5766062,N,4431,213.23,48,N,10235,953775,Y,0,2011-04-30
5481183,21,17,0,3,Higher Education,Y,2,5766062,N,4431,213.23,48,N,10235,953775,Y,0,2011-05-31
5481183,21,18,0,3,Higher Education,Y,2,5766062,N,4431,213.23,48,N,10235,953775,Y,0,2011-06-30
5481183,21,19,0,3,Higher Education,Y,2,5766062,N,4431,213.23,48,N,10235,953775,Y,0,2011-07-31
5481183,21,20,0,3,Higher Education,Y,2,5766062,N,4431,213.23,48,N,10235,953775,Y,0,2011-08-31
5481183,21,21,0,3,Higher Education,Y,2,5766062,N,4431,213.23,48,N,10235,953775,Y,0,2011-09-30
5481199,26,1,0,4,Secondary,N,2,5766065,N,3357,735.5,12,N,8826,953776,Y,0,2010-01-31
5481199,26,2,0,4,Secondary,N,2,5766065,N,3357,735.5,12,N,8826,953776,Y,0,2010-02-28
5481199,26,3,0,4,Secondary,N,2,5766065,N,3357,735.5,12,N,8826,953776,Y,0,2010-03-31
5481217,41,1,0,5,Secondary,N,2,5766086,Y,4515,155.17,12,N,1862,953777,Y,0,2010-01-31
5481217,41,2,0,5,Secondary,N,2,5766086,Y,4515,155.17,12,N,1862,953777,Y,0,2010-02-28
